nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo_moderado,9,10,10000,0.0511,0.053,0.0533,0.0066,NA,0.0522,0.0465,0.0701,0.039,0.1377,0.0406,0,0,0,0,10000,0,0,0,0,0,0,82.76855969429016
bajo_moderado,9,25,10000,0.0773,0.0775,0.0679,0.0082,0.046,0.0768,0.0477,0.0836,0.076,0.2306,0.0617,0,0,0,0,0,0,0,0,0,0,0,83.13554334640503
bajo_moderado,9,50,10000,0.1446,0.1351,0.1112,0.0102,0.1008,0.1222,0.0825,0.092,0.1611,0.3099,0.1211,0,0,0,0,0,0,0,0,0,0,0,78.60770916938782
bajo_moderado,9,100,10000,0.3854,0.3039,0.2458,0.0356,0.2748,0.2528,0.2298,0.1638,0.3153,0.4733,0.2784,0,0,0,0,0,0,0,0,0,0,0,77.727792263031
bajo_moderado,9,250,10000,0.9478,0.8051,0.67490000000000006,0.6993,0.887,0.6767,0.8604,0.5317,0.6956,0.8424,0.8022,0,0,0,0,0,0,0,0,0,0,0,86.91008472442627
bajo_moderado,9,500,10000,1,0.9947,0.9733,0.9981,0.9998,0.9708,0.9998,0.9863,0.9482,0.9844,0.9941,0,0,0,0,0,0,0,0,0,0,0,103.08795380592346
bajo_moderado,9,1000,10000,1,1,1,1,1,1,1,1,0.999,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,137.50509452819824
bajo_moderado,9,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,172.9443542957306
