nivel,k,lambda,skew_objetivo,kurt_exc_objetivo,skew_logrado,kurt_exc_logrado,dist2,umbral_1,umbral_2,umbral_3,umbral_4,umbral_5,umbral_6,umbral_7,umbral_8
bajo,3,0.7374017308878728,0.053,-1.28,0.05299979640476009,-1.2799994902812686,3.0126420689726673e-13,0.02400821680477022,0.03926818551104052,NA,NA,NA,NA,NA,NA
bajo,4,0.7867212347036376,0.053,-1.28,0.05300018892624855,-1.2800000017534503,3.5696201979164774e-14,-0.23965477645551417,-0.13379895948222764,0.5635241956803563,NA,NA,NA,NA,NA
bajo,5,0.8409161874307535,0.053,-1.28,0.05299987750728943,-1.2800002634016692,8.438490344874731e-14,-0.8676553605588699,-0.10372433697125216,0.34245760115355406,0.4153233547845161,NA,NA,NA,NA
bajo,6,0.8049253308453936,0.053,-1.28,0.05300010155178293,-1.2799998556610026,3.1146510793597493e-14,-0.5404052978526599,-0.2439055280349257,0.07435502482210854,0.23686529569284295,0.6855148672811269,NA,NA,NA
bajo,7,0.8717071159325278,0.053,-1.28,0.05299986199952439,-1.2800001141267543,3.2069047308442503e-14,-1.3141664282268557,-0.5305402295271149,-0.02008638317356581,0.13487971178833158,0.36188147229851264,0.6787443950568193,NA,NA
bajo,8,0.8679305493891961,0.053,-1.28,0.0530001512640676,-1.279999908690116,3.1218313082412475e-14,-1.5036271994643944,-0.5493728182121509,-0.247532235465725,0.0026973971639137,0.18975934838751796,0.5482207345012695,0.6771441386073807,NA
bajo,9,0.8143202970834807,0.053,-1.28,0.05300004159944315,-1.2800000869221002,9.285965171167784e-15,-1.1774836036348648,-0.48885516414880115,-0.08196912200092421,-0.05575716771475236,0.07390644683111702,0.3194147016313573,0.39633806190390297,0.5413014262444196
bajo_moderado,3,0.4488180529806242,0.276,-0.57,0.27599951425670327,-0.5700011877416329,1.646676736947393e-12,0.08733753197468845,0.4172683025706937,NA,NA,NA,NA,NA,NA
bajo_moderado,4,0.7886416874879975,0.276,-0.57,0.2759997702986847,-0.5700000280442583,5.354917467837031e-14,-0.523924795339573,0.7735172422920981,2.3283977508852676,NA,NA,NA,NA,NA
bajo_moderado,5,0.5263410072033413,0.276,-0.57,0.27599938622068365,-0.5699999810127707,3.770855640798594e-13,-0.4835633381785463,0.03708789438711002,0.5379560056474951,0.9649948174030945,NA,NA,NA,NA
bajo_moderado,6,0.6811038609486803,0.276,-0.57,0.2759997609410034,-0.570000122485617,7.215193024936776e-14,-0.4881063408352933,-0.16459901926342135,0.4218698047461153,1.4979559275326817,1.8653731173997077,NA,NA,NA
bajo_moderado,7,0.4952712248147263,0.276,-0.57,0.2759995243134246,-0.5700000948952617,2.352828287272713e-13,-0.5838204570374297,0.11367636590925212,0.11469705374884907,0.31496733629152485,0.5619239914994671,1.1004069539118029,NA,NA
bajo_moderado,8,0.8787495709929728,0.276,-0.57,0.27600011915824907,-0.5700000799908005,2.0597216486471362e-14,-0.9337184049495424,-0.41590812742001126,-0.00937817425553499,0.5593881950521749,1.2752704654806808,1.6629535997147065,2.270929616901065,NA
bajo_moderado,9,0.5215563639859062,0.276,-0.57,0.27599986370046087,-0.5699999412833678,2.2025207260486636e-14,-1.0907794403443165,-0.11090892543881437,-0.02372384615397416,0.18783530181599417,0.347592491116989,0.3737816507813261,0.9221909760382794,1.2344521067965502
moderado,3,0.4464382696831821,0.688,0.07,0.6879986718048414,0.07000323180930224,1.2208693745096668e-11,0.326806531386385,1.028699740387863,NA,NA,NA,NA,NA,NA
moderado,4,0.7991797294131426,0.688,0.07,0.6880001262661581,0.06999951189686371,2.541878143694553e-13,-0.5665605648465576,0.8149747623909248,1.3745361893038446,NA,NA,NA,NA,NA
moderado,5,0.5155294801254312,0.688,0.07,0.6880003365018429,0.07000094801089318,1.011958143885994e-12,0.14960050967224536,0.36921103314654424,1.2309604857073642,1.9446923217224783,NA,NA,NA,NA
moderado,6,0.5437652944174671,0.688,0.07,0.6879998839410214,0.07000028547411574,9.496515725437725e-14,-0.15630880964355132,0.3338211603119274,0.945597935714756,1.3061737892056713,2.2701186421958406,NA,NA,NA
moderado,7,0.5244055453416031,0.688,0.07,0.6879996663064462,0.06999966236369382,2.2534966309884274e-13,-0.28035604167917777,0.16346156586769933,0.5809146928026427,1.053741439454416,1.12935136942479,1.5928052329960445,NA,NA
moderado,8,0.48663742829669654,0.688,0.07,0.6879998555955065,0.06999964119301749,1.4959510843659746e-13,-0.39358291773750487,0.14991354965152492,0.4995106599174458,0.8473969313862804,0.9858960519630844,1.0243831948936153,1.2249944098075989,NA
moderado,9,0.5321906242175005,0.688,0.07,0.6879997458255203,0.07000005284170596,6.739691201180904e-14,-0.47677139101222177,0.02642424414744593,0.4782133254972256,0.7269372033917538,0.9318762150259872,1.0311731216782098,1.4883550968995325,2.232578259204403
alto,3,0.6619038727114562,1.332,1.62,1.3319773528673264,1.6199940765699683,5.479796416790086e-10,0.6094580208711128,1.8533185790145312,NA,NA,NA,NA,NA,NA
alto,4,0.5925875991923242,1.332,1.62,1.3319994236393642,1.620006297244796,3.998748360131475e-11,0.6218613840748916,0.9774310795949648,1.7346599302992542,NA,NA,NA,NA,NA
alto,5,0.6309068804390947,1.332,1.62,1.332002697950053,1.6199999442017496,7.282047932812257e-12,0.3074392828337413,1.104182213263073,1.1370612819564323,1.9124485899940016,NA,NA,NA,NA
alto,6,0.8631713990719923,1.332,1.62,1.3319977295370895,1.6200007155241627,5.666976654509493e-12,0.00517198434146021,0.8551804423339636,1.404084791612878,2.1243453524762015,2.5694070846808623,NA,NA,NA
alto,7,0.8684441321747837,1.332,1.62,1.3320000177857283,1.6200007129346634,5.085921662702841e-13,0.07180334049366681,0.5211177121127369,1.2471418851582163,1.7210038019250535,2.1928103181016945,2.482374841040834,NA,NA
alto,8,0.8265450074885926,1.332,1.62,1.3320001236631096,1.6200008397426835,7.20460338964874e-13,-0.10508802852134748,0.5302179780749207,1.363469567180304,1.4457375744629626,1.7103854965003185,2.983386346849493,3.224837989116814,NA
alto,9,0.6402586643363204,1.332,1.62,1.3320008506449534,1.6200000340536214,7.247564858063027e-13,0.11688117100102194,0.5175191086507178,0.9832941380793192,0.9988240843315708,1.192863556987114,1.3239926085949625,1.9144644908634816,2.129179641996911
muy_alto,3,0.5518298206522998,2.401,7.52,2.3842293973070254,7.52415617993017,2.9852694629755005e-4,1.3236811362429783,1.963367907141524,NA,NA,NA,NA,NA,NA
muy_alto,4,0.5399483102050833,2.401,7.52,2.388620524530601,7.521717332084648,1.5620064238640758e-4,1.3271202318128594,1.5784067123862222,1.992557104430639,NA,NA,NA,NA,NA
muy_alto,5,0.8491194942003663,2.401,7.52,2.400987689459212,7.519992350880955,2.1005843664640047e-10,0.6735158362872351,1.7339163399681328,2.1806871383413258,2.6508006988246047,NA,NA,NA,NA
muy_alto,6,0.6778517068672231,2.401,7.52,2.4004114901228015,7.520126385134466,3.6231707777401396e-7,0.8227840920953153,1.415830211655153,1.8837115550620165,2.258412481085373,2.7222685895203043,NA,NA,NA
muy_alto,7,0.8644509738181744,2.401,7.52,2.4010304580602915,7.519984059504884,1.181792821270645e-9,0.44928655742013457,1.2708832604992617,1.8087525857612536,2.1308774278974125,2.359269585465236,2.875696272139751,NA,NA
muy_alto,8,0.7339085223730617,2.401,7.52,2.4009890816001467,7.5199886130285805,2.488745734523609e-10,0.5382209235829386,1.289615789373855,1.5066853680863916,1.937752509292233,2.1014443642465443,2.6488384135618266,2.6812603588006865,NA
muy_alto,9,0.7734058869953424,2.401,7.52,2.4009847866223684,7.519976385177507,7.891067002918494e-10,0.4581467508271539,1.3424813386276653,1.351919629953643,1.913860287770341,2.281630183407354,2.297189846315557,2.9417831556927374,3.113442048542227
