nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo,3,10,10000,0.15,0.1353,0.0989,0.0021,NA,0.1152,0.0907,0.1474,0.0891,0.2928,0.0527,0,0,0,0,10000,0,0,0,0,0,0,85.79896068572998
bajo,3,25,10000,0.577,0.4561,0.2962,4e-4,0.3745,0.3382,0.3166,0.2528,0.5469,0.7457,0.2739,0,0,0,0,0,0,0,0,0,0,0,87.20203924179077
bajo,3,50,10000,0.979,0.9053,0.7103,5e-4,0.9027,0.7533,0.8848,0.4873,0.9455,0.9539,0.7555,0,0,0,0,0,0,0,0,0,0,0,79.72849702835083
bajo,3,100,10000,1,1,0.9938,0.8181,1,0.9985,1,0.9747,1,0.9994,0.9896,0,0,0,0,0,0,0,0,0,0,0,76.58241868019104
bajo,3,250,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,11,0,0,85.47989439964294
bajo,3,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,35,0,0,104.5615599155426
bajo,3,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,25,0,0,138.31263399124146
bajo,3,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,15,0,0,171.662095785141
