dataset,k,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
rse_k4.csv,4,46546,10,10000,0.0453,0.0442,0.0439,0.0044,NA,0.0443,0.0381,0.0702,0.0319,0.1275,0.0306,0,0,0,0,10000,0,0,0,0,0,0,79.2511773109436
rse_k4.csv,4,46546,25,10000,0.0516,0.058,0.0654,0.001,0.035,0.0584,0.0259,0.0899,0.0792,0.1997,0.0338,0,0,0,0,0,0,0,0,0,0,0,79.81741762161255
rse_k4.csv,4,46546,50,10000,0.1024,0.097,0.1162,4e-4,0.1079,0.0838,0.0355,0.1132,0.2078,0.2586,0.0663,0,0,0,0,0,0,0,0,0,0,0,75.28764343261719
rse_k4.csv,4,46546,100,10000,0.3083,0.2129,0.2521,0.0013,0.3186,0.1615,0.1208,0.3526,0.4791,0.3769,0.1397,0,0,0,0,0,0,0,0,0,0,0,72.66458058357239
rse_k4.csv,4,46546,250,10000,0.9731,0.7549,0.7239,0.3705,0.8504,0.5596,0.8321,0.6957,0.9338,0.7025,0.5086,0,0,0,0,0,0,0,0,0,0,0,80.4829626083374
rse_k4.csv,4,46546,500,10000,1,1,0.9913,0.9735,0.9968,0.992,1,1,0.9994,0.9442,0.9127,0,0,0,0,0,0,0,0,0,0,0,94.1905357837677
rse_k4.csv,4,46546,1000,10000,1,1,1,1,1,1,1,1,1,0.9995,0.9999,0,0,0,0,0,0,0,0,0,0,0,123.10744619369505
rse_k4.csv,4,46546,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,153.75794649124146
