nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,8,10,10000,0.1118,0.1037,0.0885,0.0251,NA,0.097,0.112,0.1071,0.069,0.1465,0.103,0,0,0,0,10000,0,0,0,0,0,0,81.37593412399292
moderado,8,25,10000,0.2877,0.2389,0.1759,0.0943,0.1671,0.2131,0.2426,0.1542,0.0942,0.2846,0.2475,0,0,0,0,0,0,0,0,0,0,0,82.99379849433899
moderado,8,50,10000,0.613,0.4863,0.356,0.2387,0.321,0.4139,0.5243,0.2509,0.1104,0.4666,0.5096,0,0,0,0,0,0,0,0,0,0,0,79.16401886940002
moderado,8,100,10000,0.9551,0.86240000000000006,0.7204,0.673,0.7362,0.7692,0.9147,0.5779,0.1118,0.7397,0.8701,0,0,0,0,0,0,0,0,0,0,0,76.42516136169434
moderado,8,250,10000,1,0.9998,0.9955,0.9997,0.9997,0.9979,1,0.9939,0.1005,0.9849,0.9999,0,0,0,0,0,0,0,0,0,0,0,87.03265047073364
moderado,8,500,10000,1,1,1,1,1,1,1,1,0.0978,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,102.36244750022888
moderado,8,1000,10000,1,1,1,1,1,1,1,1,0.1171,1,1,0,0,0,0,0,0,0,0,0,0,0,141.1069073677063
moderado,8,1500,10000,1,1,1,1,1,1,1,1,0.1293,1,1,0,0,0,0,0,0,0,0,0,0,0,177.5727939605713
