nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo_moderado,4,10,10000,0.0577,0.058,0.0579,0.0057,NA,0.0548,0.051,0.0771,0.0428,0.1382,0.0393,0,0,0,0,10000,0,0,0,0,0,0,85.31076455116272
bajo_moderado,4,25,10000,0.1074,0.0924,0.0924,0.0142,0.063,0.0803,0.0625,0.107,0.102,0.2349,0.0617,0,0,0,0,0,0,0,0,0,0,0,87.59566116333008
bajo_moderado,4,50,10000,0.27,0.1842,0.1867,0.0163,0.1496,0.1371,0.1374,0.2247,0.219,0.3173,0.118,0,0,0,0,0,0,0,0,0,0,0,80.3139955997467
bajo_moderado,4,100,10000,0.7576,0.4973,0.4667,0.0463,0.3633,0.3272,0.5358,0.4478,0.3945,0.4791,0.2798,0,0,0,0,0,0,0,0,0,0,0,79.2113687992096
bajo_moderado,4,250,10000,1,0.9979,0.9717,0.7343,0.883,0.9534,0.9998,0.9983,0.6698,0.8241,0.8029,0,0,0,0,0,0,0,0,0,0,0,87.21170496940613
bajo_moderado,4,500,10000,1,1,1,0.9977,0.9989,1,1,1,0.8839,0.9838,0.9955,0,0,0,0,0,0,0,0,0,0,0,101.97694444656372
bajo_moderado,4,1000,10000,1,1,1,1,1,1,1,1,0.9896,1,1,0,0,0,0,0,0,0,0,0,0,0,136.89263653755188
bajo_moderado,4,1500,10000,1,1,1,1,1,1,1,1,0.9995,1,1,0,0,0,0,0,0,0,0,0,0,0,173.03777313232422
