nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo_moderado,3,10,10000,0.0533,0.0559,0.0632,0.0058,NA,0.0563,0.0482,0.0838,0.0347,0.1213,0.0344,0,0,0,0,10000,0,0,0,0,0,0,85.49163961410522
bajo_moderado,3,25,10000,0.0676,0.0723,0.0977,0.0059,0.0339,0.0683,0.0375,0.1306,0.0638,0.1651,0.0356,0,0,0,0,0,0,0,0,0,0,0,87.61804461479187
bajo_moderado,3,50,10000,0.1386,0.1294,0.2031,0.0031,0.0648,0.1117,0.0647,0.2145,0.1297,0.1936,0.0563,0,0,0,0,0,0,0,0,0,0,0,79.79533314704895
bajo_moderado,3,100,10000,0.4775,0.3398,0.4732,0.0078,0.1767,0.2495,0.2375,0.475,0.2663,0.2693,0.1105,0,0,0,0,0,0,0,0,0,0,0,78.47807145118713
bajo_moderado,3,250,10000,0.9998,0.999,0.9812,0.3409,0.6804,0.9869,0.9932,1,0.6499,0.5055,0.4236,0,0,0,0,0,0,0,0,0,0,0,86.55695843696594
bajo_moderado,3,500,10000,1,1,1,0.9536,0.98740000000000006,1,1,1,0.9401,0.7881,0.8703,0,0,0,0,0,0,0,0,0,0,0,101.39747405052185
bajo_moderado,3,1000,10000,1,1,1,1,1,1,1,1,0.9993,0.9728,0.9992,0,0,0,0,0,0,0,0,0,0,0,136.52960443496704
bajo_moderado,3,1500,10000,1,1,1,1,1,1,1,1,1,0.9974,1,0,0,0,0,0,0,0,0,0,0,0,172.8599693775177
