nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,5,10,10000,0.1165,0.1095,0.0958,0.0234,NA,0.1031,0.1159,0.1176,0.0696,0.1508,0.1003,0,0,0,0,10000,0,0,0,0,0,0,87.43184423446655
moderado,5,25,10000,0.3154,0.2626,0.2166,0.0966,0.1725,0.2304,0.2596,0.1887,0.1015,0.2974,0.2501,0,0,0,0,0,0,0,0,0,0,0,87.91771626472473
moderado,5,50,10000,0.6941,0.5558,0.4776,0.2388,0.3273,0.4691,0.5893,0.3668,0.1196,0.4869,0.5172,0,0,0,0,0,0,0,0,0,0,0,84.45045351982117
moderado,5,100,10000,0.9886,0.9257,0.8766,0.6761,0.7475,0.8451,0.9649,0.7575,0.1259,0.7526,0.881,0,0,0,0,0,0,0,0,0,0,0,82.8563666343689
moderado,5,250,10000,1,1,1,0.9998,0.9999,1,1,0.9999,0.1212,0.9888,0.9999,0,0,0,0,0,0,0,0,0,0,0,95.01721024513245
moderado,5,500,10000,1,1,1,1,1,1,1,1,0.1221,1,1,0,0,0,0,0,0,0,0,0,0,0,114.0400025844574
moderado,5,1000,10000,1,1,1,1,1,1,1,1,0.1398,1,1,0,0,0,0,0,0,0,0,0,0,0,159.0481894016266
moderado,5,1500,10000,1,1,1,1,1,1,1,1,0.1558,1,1,0,0,0,0,0,0,0,0,0,0,0,194.11956930160522
