nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,6,10,10000,0.1105,0.1043,0.0906,0.0231,NA,0.0983,0.1093,0.1085,0.0665,0.1483,0.0971,0,0,0,0,10000,0,0,0,0,0,0,60.83425474166871
moderado,6,25,10000,0.3007,0.2519,0.1951,0.0914,0.1687,0.2211,0.2503,0.176,0.0987,0.286,0.2461,0,0,0,0,0,0,0,0,0,0,0,62.89032244682312
moderado,6,50,10000,0.6485,0.5208,0.4256,0.2357,0.3226,0.4417,0.5487,0.2982,0.1165,0.4831,0.5065,0,0,0,0,0,0,0,0,0,0,0,60.929379463195794
moderado,6,100,10000,0.9726,0.895,0.8113,0.6716,0.7452,0.8072,0.9406,0.7139,0.1244,0.7419,0.8747,0,0,0,0,0,0,0,0,0,0,0,59.176143407821655
moderado,6,250,10000,1,1,0.9998,0.9997,0.9999,0.9997,1,0.9925,0.1136,0.9876,0.9998,0,0,0,0,0,0,0,0,0,0,0,65.41223907470703
moderado,6,500,10000,1,1,1,1,1,1,1,1,0.1153,1,1,0,0,0,0,0,0,0,0,0,0,0,78.531036376953125
moderado,6,1000,10000,1,1,1,1,1,1,1,1,0.1317,1,1,0,0,0,0,0,0,0,0,0,0,0,107.50057816505432
moderado,6,1500,10000,1,1,1,1,1,1,1,1,0.1404,1,1,0,0,0,0,0,0,0,0,0,0,0,135.68351340293884
