nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo_moderado,8,10,10000,0.0437,0.0464,0.0495,0.0053,NA,0.0465,0.0421,0.0623,0.0394,0.1338,0.0379,0,0,0,0,10000,0,0,0,0,0,0,104.63862037658691
bajo_moderado,8,25,10000,0.0583,0.063,0.0581,0.0072,0.0393,0.0611,0.0341,0.0722,0.0709,0.1971,0.046,0,0,0,0,0,0,0,0,0,0,0,103.70967698097229
bajo_moderado,8,50,10000,0.094,0.0942,0.0913,0.0052,0.0844,0.0888,0.0476,0.0811,0.1449,0.2407,0.0763,0,0,0,0,0,0,0,0,0,0,0,102.94788765907288
bajo_moderado,8,100,10000,0.2223,0.1845,0.1833,0.0109,0.1991,0.1572,0.1088,0.1512,0.2853,0.3457,0.1538,0,0,0,0,0,0,0,0,0,0,0,95.63830399513245
bajo_moderado,8,250,10000,0.7644,0.5634,0.5279,0.367,0.6976,0.4502,0.5647,0.5396,0.6554,0.6552,0.5295,0,0,0,0,0,0,0,0,0,0,0,104.15106630325317
bajo_moderado,8,500,10000,0.9967,0.9433,0.9088,0.9558,0.9842,0.8528,0.9834,0.9924,0.9291,0.912,0.9177,0,0,0,0,0,0,0,0,0,0,0,122.71804547309875
bajo_moderado,8,1000,10000,1,1,0.9998,1,1,0.9985,1,0.9999,0.9982,0.9959,0.9995,0,0,0,0,0,0,0,0,0,0,0,174.59869599342346
bajo_moderado,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,213.84871459007263
