nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo,7,10,10000,0.0428,0.0456,0.0442,0.0046,NA,0.0448,0.0375,0.064,0.0378,0.1381,0.0309,0,0,0,0,10000,0,0,0,0,0,0,77.40830159187317
bajo,7,25,10000,0.0472,0.0538,0.0511,0.0016,0.0363,0.0543,0.023,0.0661,0.0819,0.2166,0.0343,0,0,0,0,0,0,0,0,0,0,0,78.5093584060669
bajo,7,50,10000,0.0805,0.083,0.0793,1e-4,0.113,0.0773,0.0263,0.0806,0.2119,0.2758,0.0683,0,0,0,0,0,0,0,0,0,0,0,74.13662695884705
bajo,7,100,10000,0.2024,0.1692,0.1505,0.0018,0.3315,0.1403,0.0767,0.148,0.4935,0.4146,0.1554,0,0,0,0,0,0,0,0,0,0,0,71.46249198913574
bajo,7,250,10000,0.7749,0.5451,0.467,0.4088,0.8677,0.4247,0.5229,0.5185,0.941,0.7541,0.5558,0,0,0,0,0,0,0,0,0,0,0,81.17307209968567
bajo,7,500,10000,0.9989,0.9408,0.8654,0.9759,0.9981,0.8423,0.9834,0.9886,0.9996,0.9646,0.9292,0,0,0,0,0,0,0,0,0,0,0,99.02953958511353
bajo,7,1000,10000,1,1,0.9991,1,1,0.999,1,0.9991,1,0.9994,0.9999,0,0,0,0,0,0,0,0,0,0,0,135.04569029808044
bajo,7,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,173.71759176254272
