nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo,8,10,10000,0.1196,0.1131,0.0837,0.0027,NA,0.1021,0.0732,0.1104,0.0965,0.2972,0.0589,0,0,0,0,10000,0,0,0,0,0,0,99.87925672531128
bajo,8,25,10000,0.4492,0.3566,0.174,4e-4,0.3802,0.2857,0.2267,0.1841,0.545,0.753,0.2972,0,0,0,0,0,0,0,0,0,0,0,102.57132363319397
bajo,8,50,10000,0.8977,0.7724,0.4134,4e-4,0.8972,0.636,0.7061,0.3306,0.942,0.9564,0.7739,0,0,0,0,0,0,0,0,0,0,0,96.97689700126648
bajo,8,100,10000,0.9998,0.9922,0.8314,0.8175,0.9997,0.9608,0.9958,0.7206,0.9997,0.9993,0.9918,0,0,0,0,0,0,0,0,0,0,0,93.68974947929382
bajo,8,250,10000,1,1,0.9998,1,1,1,1,0.9988,1,1,1,0,0,0,0,0,0,0,0,14,0,0,103.9459297657013
bajo,8,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,34,0,0,123.81140422821045
bajo,8,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,25,0,0,163.2513701915741
bajo,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,19,0,0,203.70300006866455
