nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,3,10,10000,0.1313,0.1293,0.1258,0.0246,NA,0.1237,0.1248,0.1416,0.0699,0.1408,0.0971,0,0,0,0,10000,0,0,0,0,0,0,82.68863201141357
moderado,3,25,10000,0.3565,0.3147,0.3198,0.095,0.1713,0.2802,0.2981,0.2625,0.098,0.2796,0.2406,0,0,0,0,0,0,0,0,0,0,0,84.14204239845276
moderado,3,50,10000,0.7778,0.6826,0.6916,0.2418,0.3276,0.596,0.6719,0.4857,0.1188,0.4727,0.5101,0,0,0,0,0,0,0,0,0,0,0,79.68404507637024
moderado,3,100,10000,0.9986,0.993,0.9879,0.6773,0.7453,0.9747,0.9914,0.9716,0.1136,0.7428,0.8784,0,0,0,0,0,0,0,0,0,0,0,76.67818117141724
moderado,3,250,10000,1,1,1,0.9999,0.9999,1,1,1,0.1071,0.9862,0.9998,0,0,0,0,0,0,0,0,0,0,0,86.02145600318909
moderado,3,500,10000,1,1,1,1,1,1,1,1,0.1033,1,1,0,0,0,0,0,0,0,0,0,0,0,103.23935294151306
moderado,3,1000,10000,1,1,1,1,1,1,1,1,0.1259,1,1,0,0,0,0,0,0,0,0,0,0,0,138.23480558395386
moderado,3,1500,10000,1,1,1,1,1,1,1,1,0.1408,1,1,0,0,0,0,0,0,0,0,0,0,0,172.46380853652954
