nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,7,10,10000,0.1399,0.13,0.1043,0.0245,NA,0.1192,0.1298,0.13,0.0747,0.185,0.1153,0,0,0,0,10000,0,0,0,0,0,0,74.52429413795471
moderado,7,25,10000,0.4091,0.3377,0.2255,0.0831,0.168,0.2913,0.3232,0.2379,0.1022,0.4099,0.309,0,0,0,0,0,0,0,0,0,0,0,75.1887526512146
moderado,7,50,10000,0.8285,0.692,0.4917,0.2404,0.35,0.5897,0.7234,0.445,0.1124,0.6794,0.642,0,0,0,0,0,0,0,0,0,0,0,72.83608770370483
moderado,7,100,10000,0.9983,0.9765,0.88,0.7954,0.8725,0.926,0.9919,0.8445,0.1154,0.9194,0.9579,0,0,0,0,0,0,0,0,0,0,0,68.46863532066345
moderado,7,250,10000,1,1,1,1,1,1,1,1,0.1194,0.9998,1,0,0,0,0,0,0,0,0,0,0,0,75.35703301429749
moderado,7,500,10000,1,1,1,1,1,1,1,1,0.1428,1,1,0,0,0,0,0,0,0,0,0,0,0,93.05362629890442
moderado,7,1000,10000,1,1,1,1,1,1,1,1,0.1935,1,1,0,0,0,0,0,0,0,0,0,0,0,126.19359970092773
moderado,7,1500,10000,1,1,1,1,1,1,1,1,0.2429,1,1,0,0,0,0,0,0,0,0,0,0,0,162.7109339237213
