nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,9,10,10000,0.2633,0.2487,0.1917,0.0554,NA,0.2322,0.2531,0.2304,0.1191,0.2212,0.2304,0,0,0,0,10000,0,0,0,0,0,0,89.32944631576538
alto,9,25,10000,0.7025,0.6453,0.4649,0.2424,0.3631,0.5966,0.6375,0.4748,0.1345,0.5125,0.6223,0,0,0,0,0,0,0,0,0,0,0,94.74074077606201
alto,9,50,10000,0.9725,0.9455,0.8132,0.6551,0.7133,0.917,0.9542,0.7794,0.1365,0.8723,0.9387,0,0,0,0,0,0,0,0,0,0,0,90.74901747703552
alto,9,100,10000,1,0.9999,0.992,0.9958,0.9972,0.999,1,0.9852,0.145,0.9929,0.9996,0,0,0,0,0,0,0,0,0,0,0,89.74841022491455
alto,9,250,10000,1,1,1,1,1,1,1,1,0.2263,1,1,0,0,0,0,0,0,0,0,0,0,0,104.10495781898499
alto,9,500,10000,1,1,1,1,1,1,1,1,0.3826,1,1,0,0,0,0,0,0,0,0,0,0,0,124.97643780708313
alto,9,1000,10000,1,1,1,1,1,1,1,1,0.6541,1,1,0,0,0,0,0,0,0,0,0,0,0,163.82959580421448
alto,9,1500,10000,1,1,1,1,1,1,1,1,0.8207,1,1,0,0,0,0,0,0,0,0,0,0,0,199.80138397216797
