nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
moderado,4,10,10000,0.1116,0.10780000000000001,0.0974,0.0247,NA,0.0997,0.114,0.1097,0.0705,0.1125,0.0988,0,0,0,0,10000,0,0,0,0,0,0,83.76338720321655
moderado,4,25,10000,0.2839,0.2371,0.1979,0.0942,0.1671,0.2074,0.2483,0.1601,0.069,0.1855,0.2311,0,0,0,0,0,0,0,0,0,0,0,85.97067093849182
moderado,4,50,10000,0.6626,0.5066,0.4249,0.2398,0.3015,0.4144,0.5636,0.289,0.0574,0.3719,0.4858,0,0,0,0,0,0,0,0,0,0,0,81.28876185417175
moderado,4,100,10000,0.9813,0.8913,0.8127,0.6945,0.7204,0.7839,0.952,0.7186,0.0391,0.6502,0.8696,0,0,0,0,0,0,0,0,0,0,0,79.56689190864563
moderado,4,250,10000,1,1,0.9997,0.9996,0.9998,0.9991,1,0.9988,0.0324,0.9596,0.9999,0,0,0,0,0,0,0,0,0,0,0,88.70276856422424
moderado,4,500,10000,1,1,1,1,1,1,1,1,0.0324,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,104.5156877040863
moderado,4,1000,10000,1,1,1,1,1,1,1,1,0.0479,1,1,0,0,0,0,0,0,0,0,0,0,0,140.11054372787476
moderado,4,1500,10000,1,1,1,1,1,1,1,1,0.0515,1,1,0,0,0,0,0,0,0,0,0,0,0,175.15575742721558
