nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,5,10,10000,0.3963,0.3611,0.2633,0.0945,NA,0.3312,0.3722,0.3683,0.1676,0.2494,0.3152,0,0,0,0,10000,0,0,0,0,0,0,91.63458228111267
alto,5,25,10000,0.9038,0.8362,0.6596,0.4354,0.5475,0.7763,0.8543,0.7619,0.2469,0.5218,0.7764,0,0,0,0,0,0,0,0,0,0,0,94.05664563179016
alto,5,50,10000,0.9996,0.9965,0.9677,0.8786,0.9032,0.9862,0.9986,0.9826,0.3718,0.871,0.9845,0,0,0,0,0,0,0,0,0,0,0,90.85024929046631
alto,5,100,10000,1,1,1,0.9998,0.9999,1,1,1,0.581,0.9966,1,0,0,0,0,0,0,0,0,0,0,0,87.88353896141052
alto,5,250,10000,1,1,1,1,1,1,1,1,0.8956,1,1,0,0,0,0,0,0,0,0,0,0,0,99.86649060249329
alto,5,500,10000,1,1,1,1,1,1,1,1,0.9933,1,1,0,0,0,0,0,0,0,0,0,0,0,117.71183967590332
alto,5,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,152.85916018486023
alto,5,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,185.3254702091217
