nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,6,10,10000,0.4614,0.4154,0.2841,0.0962,NA,0.3796,0.4261,0.4464,0.1673,0.2919,0.3327,0,0,0,0,10000,0,0,0,0,0,0,77.61413955688477
alto,6,25,10000,0.9382,0.8817,0.6842,0.4257,0.5392,0.8163,0.899,0.8582,0.2474,0.5736,0.79,0,0,0,0,0,0,0,0,0,0,0,79.22145962715149
alto,6,50,10000,0.9999,0.9982,0.9829,0.8732,0.9041,0.9922,0.9995,0.9956,0.3618,0.8986,0.9886,0,0,0,0,0,0,0,0,0,0,0,75.31215381622314
alto,6,100,10000,1,1,1,0.9999,0.9999,1,1,1,0.5481,0.9982,1,0,0,0,0,0,0,0,0,0,0,0,74.50962162017822
alto,6,250,10000,1,1,1,1,1,1,1,1,0.8626,1,1,0,0,0,0,0,0,0,0,0,0,0,86.61480331420898
alto,6,500,10000,1,1,1,1,1,1,1,1,0.9844,1,1,0,0,0,0,0,0,0,0,0,0,0,104.346923828125
alto,6,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,138.99177718162537
alto,6,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,175.29769849777222
