nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,8,10,10000,0.3997,0.3594,0.2423,0.0936,NA,0.3256,0.3736,0.3658,0.1668,0.2569,0.3154,0,0,0,0,10000,0,0,0,0,0,0,109.04826426506042
alto,8,25,10000,0.9,0.8238,0.5909,0.4471,0.5573,0.7444,0.8534,0.7737,0.2544,0.4889,0.7643,0,0,0,0,0,0,0,0,0,0,0,112.19810557365417
alto,8,50,10000,0.9997,0.9948,0.956,0.8832,0.9081,0.981,0.9986,0.9857,0.3969,0.8447,0.9814,0,0,0,0,0,0,0,0,0,0,0,107.18054032325745
alto,8,100,10000,1,1,1,0.9998,0.9998,1,1,0.9999,0.6061,0.9928,1,0,0,0,0,0,0,0,0,0,0,0,104.83171248435974
alto,8,250,10000,1,1,1,1,1,1,1,1,0.9206,1,1,0,0,0,0,0,0,0,0,0,0,0,119.11936521530151
alto,8,500,10000,1,1,1,1,1,1,1,1,0.9962,1,1,0,0,0,0,0,0,0,0,0,0,0,138.09117889404297
alto,8,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,177.14817142486572
alto,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,217.96747636795044
