nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
bajo,9,10,10000,0.0382,0.0409,0.0428,0.0041,NA,0.039,0.0339,0.0618,0.035,0.1353,0.0291,0,0,0,0,10000,0,0,0,0,0,0,83.48074793815613
bajo,9,25,10000,0.0499,0.0553,0.0547,0.0013,0.0355,0.0549,0.0251,0.0706,0.0827,0.2151,0.0357,0,0,0,0,0,0,0,0,0,0,0,83.91194653511047
bajo,9,50,10000,0.0786,0.085,0.0784,2e-4,0.1157,0.0796,0.0276,0.0739,0.2157,0.2804,0.0701,0,0,0,0,0,0,0,0,0,0,0,79.91163110733032
bajo,9,100,10000,0.2026,0.1678,0.1341,0.0021,0.3342,0.1443,0.0799,0.112,0.4923,0.4172,0.1596,0,0,0,0,0,0,0,0,0,0,0,77.26961302757263
bajo,9,250,10000,0.7513,0.5312,0.415,0.4087,0.8662,0.4184,0.5118,0.3444,0.9382,0.7693,0.5656,0,0,0,0,0,0,0,0,0,0,0,86.41611814498901
bajo,9,500,10000,0.9964,0.9292,0.8212,0.9718,0.9978,0.8224,0.9751,0.9608,0.9993,0.9655,0.9328,0,0,0,0,0,0,0,0,0,0,0,103.73885464668274
bajo,9,1000,10000,1,1,0.9972,1,1,0.998,1,1,1,0.9996,1,0,0,0,0,0,0,0,0,0,0,0,139.0656144618988
bajo,9,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,176.28255486488342
