nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
muy_alto,8,10,10000,0.5523,0.5154,0.3629,0.1249,NA,0.4781,0.5151,0.5344,0.1966,0.3498,0.4366,0,0,0,0,10000,0,0,0,0,0,0,71.1799738407135
muy_alto,8,25,10000,0.9783,0.9521,0.8145,0.5116,0.6326,0.921,0.9577,0.9345,0.2484,0.6602,0.9039,0,0,0,0,0,0,0,0,0,0,0,72.03889894485474
muy_alto,8,50,10000,1,0.9998,0.9967,0.9524,0.9674,0.9991,0.9999,0.9995,0.3368,0.9739,0.9986,0,0,0,0,0,0,0,0,0,0,0,69.91587829589844
muy_alto,8,100,10000,1,1,1,1,1,1,1,1,0.489,0.9999,1,0,0,0,0,0,0,0,0,0,0,0,69.03859519958496
muy_alto,8,250,10000,1,1,1,1,1,1,1,1,0.819,1,1,0,0,0,0,0,0,0,0,0,0,0,80.93222069740295
muy_alto,8,500,10000,1,1,1,1,1,1,1,1,0.9779,1,1,0,0,0,0,0,0,0,0,0,0,0,96.55180406570435
muy_alto,8,1000,10000,1,1,1,1,1,1,1,1,0.9999,1,1,0,0,0,0,0,0,0,0,0,0,0,127.5923500061035
muy_alto,8,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,163.7731420993805
