nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
muy_alto,6,10,10000,1,1,1,0.7126642771804063,NA,1,1,1,0.7182397451214656,0,1,4978,4978,4978,4978,10000,4978,4978,0,4978,5746,4978,53.720951557159424
muy_alto,6,25,10000,1,1,1,0.9990426041168023,1,1,1,1,0.8872666347534706,0,1,1644,1644,1644,1644,1644,1644,1644,0,1644,1900,1644,76.6607449054718
muy_alto,6,50,10000,1,1,1,1,1,1,1,1,0.9934257832562917,0,1,265,265,265,265,265,265,265,0,265,328,265,79.21412324905396
muy_alto,6,100,10000,1,1,1,1,1,1,1,1,0.999799759711654,0,1,12,12,12,12,12,12,12,0,12,12,12,77.97263550758362
muy_alto,6,250,10000,1,1,1,1,1,1,1,1,1,3e-4,1,0,0,0,0,0,0,0,0,0,0,0,84.50300455093384
muy_alto,6,500,10000,1,1,1,1,1,1,1,1,1,7e-4,1,0,0,0,0,0,0,0,0,0,0,0,97.80199408531189
muy_alto,6,1000,10000,1,1,1,1,1,1,1,1,1,0.0017,1,0,0,0,0,0,0,0,0,0,0,0,125.3919131755829
muy_alto,6,1500,10000,1,1,1,1,1,1,1,1,1,0.0035,1,0,0,0,0,0,0,0,0,0,0,0,153.29445719718933
