nivel,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
alto,4,10,10000,0.4275,0.3876,0.2772,0.095,NA,0.3519,0.3974,0.4004,0.1664,0.2471,0.3149,0,0,0,0,10000,0,0,0,0,0,0,82.89100861549377
alto,4,25,10000,0.9313,0.8669,0.7201,0.4373,0.5486,0.8057,0.8854,0.8176,0.2463,0.5245,0.7773,0,0,0,0,0,0,0,0,0,0,0,85.41130495071411
alto,4,50,10000,0.9999,0.9984,0.9863,0.874,0.9005,0.9915,0.9996,0.9923,0.3743,0.8706,0.9857,0,0,0,0,0,0,0,0,0,0,0,81.96995282173157
alto,4,100,10000,1,1,1,0.9997,0.9999,1,1,0.9999,0.5799,0.997,1,0,0,0,0,0,0,0,0,0,0,0,80.92839121818542
alto,4,250,10000,1,1,1,1,1,1,1,1,0.8939,1,1,0,0,0,0,0,0,0,0,0,0,0,93.40805888175964
alto,4,500,10000,1,1,1,1,1,1,1,1,0.9926,1,1,0,0,0,0,0,0,0,0,0,0,0,108.76067852973938
alto,4,1000,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,142.73674631118774
alto,4,1500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,174.3766827583313
